afsc,tier,criteria,percent,submitDate,submittedBy
13M,D,>=,80,"""2018-11-08 00:00:00""",1111111111A
13M,P,<=,20,"""2018-11-08 00:00:00""",1111111111A
13N,M,>=,10,"""2018-11-08 00:00:00""",1111111111A
13N,D,<=,90,"""2018-11-08 00:00:00""",1111111111A
13S,M,>= ,40,"""2018-11-08 00:00:00""",1111111111A
13S,D,<= ,40,"""2018-11-08 00:00:00""",1111111111A
13S,P,<= ,20,"""2018-11-08 00:00:00""",1111111111A
14F,M,>=,70,"""2018-11-08 00:00:00""",1111111111A
14F,D,<=,15,"""2018-11-08 00:00:00""",1111111111A
14F,P,<=,15,"""2018-11-08 00:00:00""",1111111111A
14N,M,>=,75,"""2018-11-08 00:00:00""",1111111111A
14N,D,<=,5,"""2018-11-08 00:00:00""",1111111111A
14N,P,<=,20,"""2018-11-08 00:00:00""",1111111111A
15W,M,=,100,"""2018-11-08 00:00:00""",1111111111A
17D,M,>=,70,"""2018-11-08 00:00:00""",1111111111A
17D,D,<=,20,"""2018-11-08 00:00:00""",1111111111A
17D,P,<=,10,"""2018-11-08 00:00:00""",1111111111A
21A,D,>=,85,"""2018-11-08 00:00:00""",1111111111A
21A,P,<=,15,"""2018-11-08 00:00:00""",1111111111A
21M,D,>=,90,"""2018-11-08 00:00:00""",1111111111A
21M,P,<=,10,"""2018-11-08 00:00:00""",1111111111A
21R,D,>=,80,"""2018-11-08 00:00:00""",1111111111A
21R,P,<=,20,"""2018-11-08 00:00:00""",1111111111A
31P,D,>=,80,"""2018-11-08 00:00:00""",1111111111A
31P,P,<=,20,"""2018-11-08 00:00:00""",1111111111A
32EXA,M,=,100,"""2018-11-08 00:00:00""",1111111111A
32EXC,M,=,100,"""2018-11-08 00:00:00""",1111111111A
32EXE,M,=,100,"""2018-11-08 00:00:00""",1111111111A
32EXF,M,=,100,"""2018-11-08 00:00:00""",1111111111A
32EXG,M,=,100,"""2018-11-08 00:00:00""",1111111111A
32EXJ,M,=,100,"""2018-11-08 00:00:00""",1111111111A
35P,M,>=,70,"""2018-11-08 00:00:00""",1111111111A
35P,D,<=,20,"""2018-11-08 00:00:00""",1111111111A
35P,P,<=,10,"""2018-11-08 00:00:00""",1111111111A
38F,M,>=,20,"""2018-11-08 00:00:00""",1111111111A
38F,D,<=,65,"""2018-11-08 00:00:00""",1111111111A
38F,P,<=,15,"""2018-11-08 00:00:00""",1111111111A
61A,M,>=,75,"""2018-11-08 00:00:00""",1111111111A
61A,P,<=,25,"""2018-11-08 00:00:00""",1111111111A
61C,M,>=,60,"""2018-11-08 00:00:00""",1111111111A
61C,D,<=,30,"""2018-11-08 00:00:00""",1111111111A
61C,P,<=,10,"""2018-11-08 00:00:00""",1111111111A
61D,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXA,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXB,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXC,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXE,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXF,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXG,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXH,M,=,100,"""2018-11-08 00:00:00""",1111111111A
62EXI,M,=,100,"""2018-11-08 00:00:00""",1111111111A
63A,M,>=,20,"""2018-11-08 00:00:00""",1111111111A
63A,D,<=,70,"""2018-11-08 00:00:00""",1111111111A
63A,P,<=,10,"""2018-11-08 00:00:00""",1111111111A
64P,D,>=,70,"""2018-11-08 00:00:00""",1111111111A
64P,P,<=,30,"""2018-11-08 00:00:00""",1111111111A
65F,D,>=,70,"""2018-11-08 00:00:00""",1111111111A
65F,P,<=,30,"""2018-11-08 00:00:00""",1111111111A
